,countryname,year,exchange rate (to $USD)
960,United Arab Emirates,1992,3.671
961,Argentina,1992,0.99064165
962,Australia,1992,1.3616483
963,Brazil,1992,0.0019530235
964,Canada,1992,1.2087229
965,Switzerland,1992,1.4062183
966,China,1992,5.5145917
967,Germany,1992,1.56165
968,"Egypt, Arab Rep",1992,3.3217483
969,Spain,1992,102.37908
970,France,1992,5.2938156
971,United Kingdom,1992,0.56977415
972,Indonesia,1992,2029.9208
973,India,1992,25.918083
974,"Iran, Islamic Rep",1992,65.567841
975,Italy,1992,1232.4059
976,Japan,1992,126.65134
977,"Korea, Rep",1992,780.67084
978,Mexico,1992,3.0948982
979,Malaysia,1992,2.5473833
980,Netherlands,1992,1.7584664
981,Philippines,1992,25.512491
982,Russian Federation,1992,
983,Saudi Arabia,1992,3.75
984,Singapore,1992,1.6289667
985,Thailand,1992,25.400127
986,Turkey,1992,0.0068724235
987,United States,1992,1.0
988,Vietnam,1992,11202.191
989,South Africa,1992,2.8520141
990,United Arab Emirates,1993,3.671
991,Argentina,1993,0.99894583
992,Australia,1993,1.47056
993,Brazil,1993,0.038276613
994,Canada,1993,1.2900879
995,Switzerland,1993,1.4776167
996,China,1993,5.7619581
997,Germany,1993,1.6533208
998,"Egypt, Arab Rep",1993,3.3525176
999,Spain,1993,127.26041
1000,France,1993,5.6632299
1001,United Kingdom,1993,0.66675657
1002,Indonesia,1993,2087.1038
1003,India,1993,30.493292
1004,"Iran, Islamic Rep",1993,1268.0787
1005,Italy,1993,1573.6659
1006,Japan,1993,111.19778
1007,"Korea, Rep",1993,802.53833
1008,Mexico,1993,3.1156166
1009,Malaysia,1993,2.574095
1010,Netherlands,1993,1.8573052
1011,Philippines,1993,27.119843
1012,Russian Federation,1993,0.99166667
1013,Saudi Arabia,1993,3.75
1014,Singapore,1993,1.6157908
1015,Thailand,1993,25.319611
1016,Turkey,1993,0.010984628
1017,United States,1993,1.0
1018,Vietnam,1993,10640.958
1019,South Africa,1993,3.2677417
1020,United Arab Emirates,1994,3.671
1021,Argentina,1994,0.99900836
1022,Australia,1994,1.3677509
1023,Brazil,1994,0.66468352
1024,Canada,1994,1.3656734
1025,Switzerland,1994,1.3676925
1026,China,1994,8.6187429
1027,Germany,1994,1.6227942
1028,"Egypt, Arab Rep",1994,3.3851333
1029,Spain,1994,133.95796
1030,France,1994,5.5520449
1031,United Kingdom,1994,0.65342659
1032,Indonesia,1994,2160.7537
1033,India,1994,31.373743
1034,"Iran, Islamic Rep",1994,1749.1737
1035,Italy,1994,1612.4449
1036,Japan,1994,102.20781
1037,"Korea, Rep",1994,803.77167
1038,Mexico,1994,3.3751166
1039,Malaysia,1994,2.6242566
1040,Netherlands,1994,1.819995
1041,Philippines,1994,26.417166
1042,Russian Federation,1994,
1043,Saudi Arabia,1994,3.75
1044,Singapore,1994,1.5274441
1045,Thailand,1994,25.149952
1046,Turkey,1994,0.029608676
1047,United States,1994,1.0
1048,Vietnam,1994,10965.667
1049,South Africa,1994,3.5507984
1050,United Arab Emirates,1995,3.671
1051,Argentina,1995,0.99975002
1052,Australia,1995,1.3490325
1053,Brazil,1995,0.91766667
1054,Canada,1995,1.3724455
1055,Switzerland,1995,1.1824691
1056,China,1995,8.3514166
1057,Germany,1995,1.4331325
1058,"Egypt, Arab Rep",1995,3.3922083
1059,Spain,1995,124.689
1060,France,1995,4.9914827
1061,United Kingdom,1995,0.63366812
1062,Indonesia,1995,2248.6079
1063,India,1995,32.427078
1064,"Iran, Islamic Rep",1995,1748.3502
1065,Italy,1995,1628.9331
1066,Japan,1995,94.059578
1067,"Korea, Rep",1995,771.25415
1068,Mexico,1995,6.419425
1069,Malaysia,1995,2.5044041
1070,Netherlands,1995,1.6056752
1071,Philippines,1995,25.714466
1072,Russian Federation,1995,
1073,Saudi Arabia,1995,3.75
1074,Singapore,1995,1.417375
1075,Thailand,1995,24.915176
1076,Turkey,1995,0.045845062
1077,United States,1995,1.0
1078,Vietnam,1995,11038.25
1079,South Africa,1995,3.627085
1080,United Arab Emirates,1996,3.671
1081,Argentina,1996,0.99966252
1082,Australia,1996,1.2778634
1083,Brazil,1996,1.0051
1084,Canada,1996,1.3635217
1085,Switzerland,1996,1.23601
1086,China,1996,8.3141747
1087,Germany,1996,1.5047742
1088,"Egypt, Arab Rep",1996,3.3914833
1089,Spain,1996,126.66158
1090,France,1996,5.1155224
1091,United Kingdom,1996,0.64095825
1092,Indonesia,1996,2342.2964
1093,India,1996,35.433174
1094,"Iran, Islamic Rep",1996,1751.1864
1095,Italy,1996,1542.947
1096,Japan,1996,108.77906
1097,"Korea, Rep",1996,804.45752
1098,Mexico,1996,7.5994482
1099,Malaysia,1996,2.5159426
1100,Netherlands,1996,1.6858968
1101,Philippines,1996,26.216101
1102,Russian Federation,1996,5.1208334
1103,Saudi Arabia,1996,3.75
1104,Singapore,1996,1.4100409
1105,Thailand,1996,25.342684
1106,Turkey,1996,0.081404895
1107,United States,1996,1.0
1108,Vietnam,1996,11032.583
1109,South Africa,1996,4.2993493
1110,United Arab Emirates,1997,3.6711249
1111,Argentina,1997,0.99949998
1112,Australia,1997,1.34738
1113,Brazil,1997,1.0779917
1114,Canada,1997,1.384598
1115,Switzerland,1997,1.4513125
1116,China,1997,8.2898169
1117,Germany,1997,1.7340559
1118,"Egypt, Arab Rep",1997,3.3887501
1119,Spain,1997,146.41364
1120,France,1997,5.8366919
1121,United Kingdom,1997,0.61083609
1122,Indonesia,1997,2909.3799
1123,India,1997,36.313286
1124,"Iran, Islamic Rep",1997,1753.3455
1125,Italy,1997,1703.0969
1126,Japan,1997,120.99086
1127,"Korea, Rep",1997,949.89001
1128,Mexico,1997,7.9184599
1129,Malaysia,1997,2.8131917
1130,Netherlands,1997,1.9512699
1131,Philippines,1997,29.470659
1132,Russian Federation,1997,5.7848334
1133,Saudi Arabia,1997,3.75
1134,Singapore,1997,1.4848058
1135,Thailand,1997,31.364334
1136,Turkey,1997,0.15186501
1137,United States,1997,1.0
1138,Vietnam,1997,11683.333
1139,South Africa,1997,4.6079617
1140,United Arab Emirates,1998,3.6724999
1141,Argentina,1998,0.99949998
1142,Australia,1998,1.5918283
1143,Brazil,1998,1.1605166
1144,Canada,1998,1.4835052
1145,Switzerland,1998,1.4498134
1146,China,1998,8.2789583
1147,Germany,1998,1.7596676
1148,"Egypt, Arab Rep",1998,3.388
1149,Spain,1998,149.39532
1150,France,1998,5.8995156
1151,United Kingdom,1998,0.6038236
1152,Indonesia,1998,10013.622
1153,India,1998,41.259365
1154,"Iran, Islamic Rep",1998,1752.286
1155,Italy,1998,1736.2074
1156,Japan,1998,130.9053
1157,"Korea, Rep",1998,1403.1833
1158,Mexico,1998,9.1360416
1159,Malaysia,1998,3.9243751
1160,Netherlands,1998,1.9837331
1161,Philippines,1998,40.893051
1162,Russian Federation,1998,9.7050829
1163,Saudi Arabia,1998,3.75
1164,Singapore,1998,1.6736016
1165,Thailand,1998,41.359386
1166,Turkey,1998,0.26072425
1167,United States,1998,1.0
1168,Vietnam,1998,13268.0
1169,South Africa,1998,5.5282841
1170,United Arab Emirates,1999,3.6724999
1171,Argentina,1999,0.99949998
1172,Australia,1999,1.54995
1173,Brazil,1999,1.8139329
1174,Canada,1999,1.4857048
1175,Switzerland,1999,1.5021549
1176,China,1999,8.2782497
1177,Germany,1999,0.93828309
1178,"Egypt, Arab Rep",1999,3.3952501
1179,Spain,1999,0.93828309
1180,France,1999,0.93828309
1181,United Kingdom,1999,0.61805683
1182,Indonesia,1999,7855.1499
1183,India,1999,43.055428
1184,"Iran, Islamic Rep",1999,1753.355
1185,Italy,1999,0.93828309
1186,Japan,1999,113.90681
1187,"Korea, Rep",1999,1189.4392
1188,Mexico,1999,9.5603971
1189,Malaysia,1999,3.8
1190,Netherlands,1999,0.93828309
1191,Philippines,1999,39.088982
1192,Russian Federation,1999,24.6199
1193,Saudi Arabia,1999,3.75
1194,Singapore,1999,1.6949567
1195,Thailand,1999,37.813656
1196,Turkey,1999,0.41878292
1197,United States,1999,1.0
1198,Vietnam,1999,13943.167
1199,South Africa,1999,6.1094842
1200,United Arab Emirates,2000,3.6724999
1201,Argentina,2000,0.99949998
1202,Australia,2000,1.7248267
1203,Brazil,2000,1.8294231
1204,Canada,2000,1.4853941
1205,Switzerland,2000,1.6888425
1206,China,2000,8.2785044
1207,Germany,2000,1.0827051
1208,"Egypt, Arab Rep",2000,3.47205
1209,Spain,2000,1.0827051
1210,France,2000,1.0827051
1211,United Kingdom,2000,0.66093081
1212,Indonesia,2000,8421.7754
1213,India,2000,44.941605
1214,"Iran, Islamic Rep",2000,1764.8561
1215,Italy,2000,1.0827051
1216,Japan,2000,107.7655
1217,"Korea, Rep",2000,1130.3625
1218,Mexico,2000,9.4555588
1219,Malaysia,2000,3.8
1220,Netherlands,2000,1.0827051
1221,Philippines,2000,44.192249
1222,Russian Federation,2000,28.129168
1223,Saudi Arabia,2000,3.75
1224,Singapore,2000,1.7239634
1225,Thailand,2000,40.111805
1226,Turkey,2000,0.62521851
1227,United States,2000,1.0
1228,Vietnam,2000,14167.75
1229,South Africa,2000,6.9398284
1230,United Arab Emirates,2001,3.6724999
1231,Argentina,2001,0.99949998
1232,Australia,2001,1.9334425
1233,Brazil,2001,2.3496318
1234,Canada,2001,1.5488399
1235,Switzerland,2001,1.687615
1236,China,2001,8.2770681
1237,Germany,2001,1.116533
1238,"Egypt, Arab Rep",2001,3.973
1239,Spain,2001,1.116533
1240,France,2001,1.116533
1241,United Kingdom,2001,0.694655
1242,Indonesia,2001,10260.85
1243,India,2001,47.186413
1244,"Iran, Islamic Rep",2001,1753.9857
1245,Italy,2001,1.116533
1246,Japan,2001,121.52895
1247,"Korea, Rep",2001,1290.79
1248,Mexico,2001,9.3423414
1249,Malaysia,2001,3.8
1250,Netherlands,2001,1.116533
1251,Philippines,2001,50.992649
1252,Russian Federation,2001,29.168526
1253,Saudi Arabia,2001,3.75
1254,Singapore,2001,1.7917225
1255,Thailand,2001,44.4319
1256,Turkey,2001,1.2255881
1257,United States,2001,1.0
1258,Vietnam,2001,14725.167
1259,South Africa,2001,8.6091805
1260,United Arab Emirates,2002,3.6724999
1261,Argentina,2002,3.0632567
1262,Australia,2002,1.8405625
1263,Brazil,2002,2.9203629
1264,Canada,2002,1.5703428
1265,Switzerland,2002,1.5586075
1266,China,2002,8.2769575
1267,Germany,2002,1.057559
1268,"Egypt, Arab Rep",2002,4.4996667
1269,Spain,2002,1.057559
1270,France,2002,1.057559
1271,United Kingdom,2002,0.66722333
1272,Indonesia,2002,9311.1914
1273,India,2002,48.610321
1274,"Iran, Islamic Rep",2002,6907.0347
1275,Italy,2002,1.057559
1276,Japan,2002,125.38802
1277,"Korea, Rep",2002,1251.6025
1278,Mexico,2002,9.6559582
1279,Malaysia,2002,3.8
1280,Netherlands,2002,1.057559
1281,Philippines,2002,51.603565
1282,Russian Federation,2002,31.348484
1283,Saudi Arabia,2002,3.75
1284,Singapore,2002,1.7905884
1285,Thailand,2002,42.960083
1286,Turkey,2002,1.5072265
1287,United States,2002,1.0
1288,Vietnam,2002,15279.5
1289,South Africa,2002,10.540747
1290,United Arab Emirates,2003,3.6724999
1291,Argentina,2003,2.9006293
1292,Australia,2003,1.5419142
1293,Brazil,2003,3.0774751
1294,Canada,2003,1.4010146
1295,Switzerland,2003,1.3466508
1296,China,2003,8.2770367
1297,Germany,2003,0.88404793
1298,"Egypt, Arab Rep",2003,5.8508749
1299,Spain,2003,0.88404793
1300,France,2003,0.88404793
1301,United Kingdom,2003,0.61247247
1302,Indonesia,2003,8577.1338
1303,India,2003,46.583282
1304,"Iran, Islamic Rep",2003,8193.8877
1305,Italy,2003,0.88404793
1306,Japan,2003,115.93346
1307,"Korea, Rep",2003,1191.6459
1308,Mexico,2003,10.78902
1309,Malaysia,2003,3.8
1310,Netherlands,2003,0.88404793
1311,Philippines,2003,54.203335
1312,Russian Federation,2003,30.692024
1313,Saudi Arabia,2003,3.75
1314,Singapore,2003,1.7421833
1315,Thailand,2003,41.484615
1316,Turkey,2003,1.5008852
1317,United States,2003,1.0
1318,Vietnam,2003,15509.583
1319,South Africa,2003,7.5647492
1320,United Arab Emirates,2004,3.6724999
1321,Argentina,2004,2.9233007
1322,Australia,2004,1.3597525
1323,Brazil,2004,2.9251194
1324,Canada,2004,1.3012816
1325,Switzerland,2004,1.2434958
1326,China,2004,8.2768011
1327,Germany,2004,0.80392164
1328,"Egypt, Arab Rep",2004,6.1962419
1329,Spain,2004,0.80392164
1330,France,2004,0.80392164
1331,United Kingdom,2004,0.54618001
1332,Indonesia,2004,8938.8496
1333,India,2004,45.316467
1334,"Iran, Islamic Rep",2004,8613.9893
1335,Italy,2004,0.80392164
1336,Japan,2004,108.19257
1337,"Korea, Rep",2004,1146.2491
1338,Mexico,2004,11.285967
1339,Malaysia,2004,3.8
1340,Netherlands,2004,0.80392164
1341,Philippines,2004,56.039917
1342,Russian Federation,2004,28.813742
1343,Saudi Arabia,2004,3.75
1344,Singapore,2004,1.6902283
1345,Thailand,2004,40.222416
1346,Turkey,2004,1.4255372
1347,United States,2004,1.0
1348,Vietnam,2004,15746.0
1349,South Africa,2004,6.4596925
1350,United Arab Emirates,2005,3.6724999
1351,Argentina,2005,2.9036574
1352,Australia,2005,1.3094733
1353,Brazil,2005,2.4343901
1354,Canada,2005,1.2114052
1355,Switzerland,2005,1.2451767
1356,China,2005,8.1943169
1357,Germany,2005,0.80380017
1358,"Egypt, Arab Rep",2005,5.7788334
1359,Spain,2005,0.80380017
1360,France,2005,0.80380017
1361,United Kingdom,2005,0.54999834
1362,Indonesia,2005,9704.7412
1363,India,2005,44.099976
1364,"Iran, Islamic Rep",2005,8963.959
1365,Italy,2005,0.80380017
1366,Japan,2005,110.21821
1367,"Korea, Rep",2005,1024.3284
1368,Mexico,2005,10.897892
1369,Malaysia,2005,3.7870917
1370,Netherlands,2005,0.80380017
1371,Philippines,2005,55.085491
1372,Russian Federation,2005,28.284441
1373,Saudi Arabia,2005,3.75
1374,Singapore,2005,1.6643975
1375,Thailand,2005,40.220131
1376,Turkey,2005,1.3435831
1377,United States,2005,1.0
1378,Vietnam,2005,15858.917
1379,South Africa,2005,6.3593283
1380,United Arab Emirates,2006,3.6724999
1381,Argentina,2006,3.0543134
1382,Australia,2006,1.3279735
1383,Brazil,2006,2.1753266
1384,Canada,2006,1.1343447
1385,Switzerland,2006,1.2538433
1386,China,2006,7.9734383
1387,Germany,2006,0.79643273
1388,"Egypt, Arab Rep",2006,5.7331667
1389,Spain,2006,0.79643273
1390,France,2006,0.79643273
1391,United Kingdom,2006,0.54348665
1392,Indonesia,2006,9159.3164
1393,India,2006,45.307007
1394,"Iran, Islamic Rep",2006,9170.9434
1395,Italy,2006,0.79643273
