,countryname,year,exchange rate (to $USD)
1396,Japan,2006,116.29931
1397,"Korea, Rep",2006,955.34082
1398,Mexico,2006,10.899241
1399,Malaysia,2006,3.6681769
1400,Netherlands,2006,0.79643273
1401,Philippines,2006,51.314274
1402,Russian Federation,2006,27.190958
1403,Saudi Arabia,2006,3.75
1404,Singapore,2006,1.5889333
1405,Thailand,2006,37.881985
1406,Turkey,2006,1.4284534
1407,United States,2006,1.0
1408,Vietnam,2006,15994.25
1409,South Africa,2006,6.7715492
1410,United Arab Emirates,2007,3.6724999
1411,Argentina,2007,3.0956488
1412,Australia,2007,1.1950725
1413,Brazil,2007,1.9470583
1414,Canada,2007,1.0740457
1415,Switzerland,2007,1.2003658
1416,China,2007,7.6075325
1417,Germany,2007,0.72967237
1418,"Egypt, Arab Rep",2007,5.6354332
1419,Spain,2007,0.72967237
1420,France,2007,0.72967237
1421,United Kingdom,2007,0.49977165
1422,Indonesia,2007,9141.0
1423,India,2007,41.348534
1424,"Iran, Islamic Rep",2007,9281.1514
1425,Italy,2007,0.72967237
1426,Japan,2007,117.75353
1427,"Korea, Rep",2007,929.37585
1428,Mexico,2007,10.928192
1429,Malaysia,2007,3.4375694
1430,Netherlands,2007,0.72967237
1431,Philippines,2007,46.148392
1432,Russian Federation,2007,25.580845
1433,Saudi Arabia,2007,3.75
1434,Singapore,2007,1.5071017
1435,Thailand,2007,34.518181
1436,Turkey,2007,1.302931
1437,United States,2007,1.0
1438,Vietnam,2007,16105.125
1439,South Africa,2007,7.0453649
1440,United Arab Emirates,2008,3.6724999
1441,Argentina,2008,3.1441646
1442,Australia,2008,1.1921784
1443,Brazil,2008,1.8337667
1444,Canada,2008,1.0670869
1445,Switzerland,2008,1.0830899
1446,China,2008,6.9486551
1447,Germany,2008,0.6799227
1448,"Egypt, Arab Rep",2008,5.4324999
1449,Spain,2008,0.6799227
1450,France,2008,0.6799227
1451,United Kingdom,2008,0.54396623
1452,Indonesia,2008,9698.9629
1453,India,2008,43.505184
1454,"Iran, Islamic Rep",2008,9428.5283
1455,Italy,2008,0.6799227
1456,Japan,2008,103.3595
1457,"Korea, Rep",2008,1100.1259
1458,Mexico,2008,11.129717
1459,Malaysia,2008,3.3358333
1460,Netherlands,2008,0.6799227
1461,Philippines,2008,44.323288
1462,Russian Federation,2008,24.852875
1463,Saudi Arabia,2008,3.75
1464,Singapore,2008,1.4148608
1465,Thailand,2008,33.313301
1466,Turkey,2008,1.3015217
1467,United States,2008,1.0
1468,Vietnam,2008,16302.25
1469,South Africa,2008,8.2612238
1470,United Arab Emirates,2009,3.6724999
1471,Argentina,2009,3.7101068
1472,Australia,2009,1.2821888
1473,Brazil,2009,1.9994282
1474,Canada,2009,1.1415354
1475,Switzerland,2009,1.0881417
1476,China,2009,6.8314161
1477,Germany,2009,0.71695769
1478,"Egypt, Arab Rep",2009,5.5445533
1479,Spain,2009,0.71695769
1480,France,2009,0.71695769
1481,United Kingdom,2009,0.64191926
1482,Indonesia,2009,10389.938
1483,India,2009,48.405266
1484,"Iran, Islamic Rep",2009,9864.3027
1485,Italy,2009,0.71695769
1486,Japan,2009,93.570091
1487,"Korea, Rep",2009,1277.2458
1488,Mexico,2009,13.513475
1489,Malaysia,2009,3.524503
1490,Netherlands,2009,0.71695769
1491,Philippines,2009,47.679688
1492,Russian Federation,2009,31.740358
1493,Saudi Arabia,2009,3.75
1494,Singapore,2009,1.4545147
1495,Thailand,2009,34.285774
1496,Turkey,2009,1.5499598
1497,United States,2009,1.0
1498,Vietnam,2009,17065.084
1499,South Africa,2009,8.4736738
1500,United Arab Emirates,2010,3.6724999
1501,Argentina,2010,3.8962951
1502,Australia,2010,1.0901595
1503,Brazil,2010,1.7592267
1504,Canada,2010,1.0301127
1505,Switzerland,2010,1.0429057
1506,China,2010,6.7702689
1507,Germany,2010,0.754309
1508,"Egypt, Arab Rep",2010,5.621943
1509,Spain,2010,0.754309
1510,France,2010,0.754309
1511,United Kingdom,2010,0.64717937
1512,Indonesia,2010,9090.4336
1513,India,2010,45.725811
1514,"Iran, Islamic Rep",2010,10254.177
1515,Italy,2010,0.754309
1516,Japan,2010,87.779877
1517,"Korea, Rep",2010,1156.46
1518,Mexico,2010,12.636008
1519,Malaysia,2010,3.221087
1520,Netherlands,2010,0.754309
1521,Philippines,2010,45.109665
1522,Russian Federation,2010,30.367916
1523,Saudi Arabia,2010,3.75
1524,Singapore,2010,1.3635083
1525,Thailand,2010,31.685705
1526,Turkey,2010,1.5028486
1527,United States,2010,1.0
1528,Vietnam,2010,18612.916
1529,South Africa,2010,7.3212218
1530,United Arab Emirates,2011,3.6724999
1531,Argentina,2011,4.1101394
1532,Australia,2011,0.96946323
1533,Brazil,2011,1.6728288
1534,Canada,2011,0.98925817
1535,Switzerland,2011,0.88804203
1536,China,2011,6.4614615
1537,Germany,2011,0.71841389
1538,"Egypt, Arab Rep",2011,5.9328275
1539,Spain,2011,0.71841389
1540,France,2011,0.71841389
1541,United Kingdom,2011,0.62414086
1542,Indonesia,2011,8770.4336
1543,India,2011,46.670467
1544,"Iran, Islamic Rep",2011,10616.307
1545,Italy,2011,0.71841389
1546,Japan,2011,79.807022
1547,"Korea, Rep",2011,1108.2333
1548,Mexico,2011,12.423325
1549,Malaysia,2011,3.060003
1550,Netherlands,2011,0.71841389
1551,Philippines,2011,43.313137
1552,Russian Federation,2011,29.382341
1553,Saudi Arabia,2011,3.75
1554,Singapore,2011,1.2577759
1555,Thailand,2011,30.491734
1556,Turkey,2011,1.6749545
1557,United States,2011,1.0
1558,Vietnam,2011,20509.75
1559,South Africa,2011,7.2611322
1560,United Arab Emirates,2012,3.6724999
1561,Argentina,2012,4.5369344
1562,Australia,2012,0.96580106
1563,Brazil,2012,1.9530686
1564,Canada,2012,0.99936473
1565,Switzerland,2012,0.93768448
1566,China,2012,6.3123326
1567,Germany,2012,0.77833813
1568,"Egypt, Arab Rep",2012,6.0560584
1569,Spain,2012,0.77833813
1570,France,2012,0.77833813
1571,United Kingdom,2012,0.63304698
1572,Indonesia,2012,9386.6289
1573,India,2012,53.437233
1574,"Iran, Islamic Rep",2012,12175.547
1575,Italy,2012,0.77833813
1576,Japan,2012,79.790459
1577,"Korea, Rep",2012,1126.8066
1578,Mexico,2012,13.169458
1579,Malaysia,2012,3.0888009
1580,Netherlands,2012,0.77833813
1581,Philippines,2012,42.228794
1582,Russian Federation,2012,30.83983
1583,Saudi Arabia,2012,3.75
1584,Singapore,2012,1.2496762
1585,Thailand,2012,31.083092
1586,Turkey,2012,1.796001
1587,United States,2012,1.0
1588,Vietnam,2012,20828.0
1589,South Africa,2012,8.2099686
1590,United Arab Emirates,2013,3.6724999
1591,Argentina,2013,5.4593525
1592,Australia,2013,1.0358431
1593,Brazil,2013,2.1560891
1594,Canada,2013,1.0301374
1595,Switzerland,2013,0.92690355
1596,China,2013,6.1957583
1597,Germany,2013,0.75294513
1598,"Egypt, Arab Rep",2013,6.8703251
1599,Spain,2013,0.75294513
1600,France,2013,0.75294513
1601,United Kingdom,2013,0.6396606
1602,Indonesia,2013,10461.24
1603,India,2013,58.597847
1604,"Iran, Islamic Rep",2013,18414.447
1605,Italy,2013,0.75294513
1606,Japan,2013,97.595657
1607,"Korea, Rep",2013,1094.9825
1608,Mexico,2013,12.771992
1609,Malaysia,2013,3.1509085
1610,Netherlands,2013,0.75294513
1611,Philippines,2013,42.446186
1612,Russian Federation,2013,31.837143
1613,Saudi Arabia,2013,3.75
1614,Singapore,2013,1.2513
1615,Thailand,2013,30.725967
1616,Turkey,2013,1.9037683
1617,United States,2013,1.0
1618,Vietnam,2013,20933.416
1619,South Africa,2013,9.655056
1620,United Arab Emirates,2014,3.6724999
1621,Argentina,2014,8.0752764
1622,Australia,2014,1.1093633
1623,Brazil,2014,2.352952
1624,Canada,2014,1.1047472
1625,Switzerland,2014,0.91615105
1626,China,2014,6.143434
1627,Germany,2014,0.75272822
1628,"Egypt, Arab Rep",2014,7.0776086
1629,Spain,2014,0.75272822
1630,France,2014,0.75272822
1631,United Kingdom,2014,0.60772961
1632,Indonesia,2014,11865.211
1633,India,2014,61.029514
1634,"Iran, Islamic Rep",2014,25941.664
1635,Italy,2014,0.75272822
1636,Japan,2014,105.94478
1637,"Korea, Rep",2014,1052.84
1638,Mexico,2014,13.29245
1639,Malaysia,2014,3.2728598
1640,Netherlands,2014,0.75272822
1641,Philippines,2014,44.395153
1642,Russian Federation,2014,38.378208
1643,Saudi Arabia,2014,3.75
1644,Singapore,2014,1.26705
1645,Thailand,2014,32.479832
1646,Turkey,2014,2.1885424
1647,United States,2014,1.0
1648,Vietnam,2014,21148.0
1649,South Africa,2014,10.852655
1650,United Arab Emirates,2015,3.6724999
1651,Argentina,2015,9.2331858
1652,Australia,2015,1.3310902
1653,Brazil,2015,3.3269043
1654,Canada,2015,1.2787862
1655,Switzerland,2015,0.9623813
1656,China,2015,6.2274885
1657,Germany,2015,0.90129644
1658,"Egypt, Arab Rep",2015,7.6912584
1659,Spain,2015,0.90129644
1660,France,2015,0.90129644
1661,United Kingdom,2015,0.65454549
1662,Indonesia,2015,13389.413
1663,India,2015,64.151947
1664,"Iran, Islamic Rep",2015,29011.492
1665,Italy,2015,0.90129644
1666,Japan,2015,121.04403
1667,"Korea, Rep",2015,1130.9525
1668,Mexico,2015,15.848267
1669,Malaysia,2015,3.9055002
1670,Netherlands,2015,0.90129644
1671,Philippines,2015,45.502838
1672,Russian Federation,2015,60.937649
1673,Saudi Arabia,2015,3.75
1674,Singapore,2015,1.374825
1675,Thailand,2015,34.247715
1676,Turkey,2015,2.7200086
1677,United States,2015,1.0
1678,Vietnam,2015,21697.568
1679,South Africa,2015,12.758931
1680,United Arab Emirates,2016,3.6724999
1681,Argentina,2016,14.758175
1682,Australia,2016,1.345214
1683,Brazil,2016,3.4913135
1684,Canada,2016,1.3256152
1685,Switzerland,2016,0.98539442
1686,China,2016,6.6444778
1687,Germany,2016,0.90342146
1688,"Egypt, Arab Rep",2016,10.025401
1689,Spain,2016,0.90342146
1690,France,2016,0.90342146
1691,United Kingdom,2016,0.74063444
1692,Indonesia,2016,13308.327
1693,India,2016,67.195313
1694,"Iran, Islamic Rep",2016,30914.852
1695,Italy,2016,0.90342146
1696,Japan,2016,108.7929
1697,"Korea, Rep",2016,1160.7675
1698,Mexico,2016,18.664059
1699,Malaysia,2016,4.1483006
1700,Netherlands,2016,0.90342146
1701,Philippines,2016,47.492462
1702,Russian Federation,2016,67.055931
1703,Saudi Arabia,2016,3.75
1704,Singapore,2016,1.3815464
1705,Thailand,2016,35.296383
1706,Turkey,2016,3.0201347
1707,United States,2016,1.0
1708,Vietnam,2016,21935.0
1709,South Africa,2016,14.709611
1710,United Arab Emirates,2017,3.6724999
1711,Argentina,2017,16.562706
1712,Australia,2017,1.3047581
1713,Brazil,2017,3.1913896
1714,Canada,2017,1.2979358
1715,Switzerland,2017,0.98469168
1716,China,2017,6.7587552
1717,Germany,2017,0.88520551
1718,"Egypt, Arab Rep",2017,17.782534
1719,Spain,2017,0.88520551
1720,France,2017,0.88520551
1721,United Kingdom,2017,0.7769767
1722,Indonesia,2017,13380.834
1723,India,2017,65.121567
1724,"Iran, Islamic Rep",2017,33226.297
1725,Italy,2017,0.88520551
1726,Japan,2017,112.16614
1727,"Korea, Rep",2017,1131.0009
1728,Mexico,2017,18.926517
1729,Malaysia,2017,4.3004408
1730,Netherlands,2017,0.88520551
1731,Philippines,2017,50.403721
1732,Russian Federation,2017,58.3428
1733,Saudi Arabia,2017,3.75
1734,Singapore,2017,1.3809251
1735,Thailand,2017,33.939812
1736,Turkey,2017,3.6481326
1737,United States,2017,1.0
1738,Vietnam,2017,22370.086
1739,South Africa,2017,13.323801
1740,United Arab Emirates,2018,3.6724999
1741,Argentina,2018,28.094992
1742,Australia,2018,1.3384122
1743,Brazil,2018,3.6538253
1744,Canada,2018,1.295818
1745,Switzerland,2018,0.97789168
1746,China,2018,6.6159573
1747,Germany,2018,0.84677267
1748,"Egypt, Arab Rep",2018,17.76729
1749,Spain,2018,0.84677267
1750,France,2018,0.84677267
1751,United Kingdom,2018,0.74953157
1752,Indonesia,2018,14236.938
1753,India,2018,68.389465
1754,"Iran, Islamic Rep",2018,40864.328
1755,Italy,2018,0.84677267
1756,Japan,2018,110.42318
1757,"Korea, Rep",2018,1100.1633
1758,Mexico,2018,19.244341
1759,Malaysia,2018,4.03513
1760,Netherlands,2018,0.84677267
1761,Philippines,2018,52.66143
1762,Russian Federation,2018,62.668133
1763,Saudi Arabia,2018,3.75
1764,Singapore,2018,1.3488417
1765,Thailand,2018,32.310226
1766,Turkey,2018,4.8283701
1767,United States,2018,1.0
1768,Vietnam,2018,22602.051
1769,South Africa,2018,13.233927
1770,United Arab Emirates,2019,3.6724999
1771,Argentina,2019,48.147892
1772,Australia,2019,1.4385066
1773,Brazil,2019,3.9444711
1774,Canada,2019,1.3267933
1775,Switzerland,2019,0.99370915
1776,China,2019,6.9083848
1777,Germany,2019,0.89327627
1778,"Egypt, Arab Rep",2019,16.770582
1779,Spain,2019,0.89327627
1780,France,2019,0.89327627
1781,United Kingdom,2019,0.78344512
1782,Indonesia,2019,14147.671
1783,India,2019,70.420341
1784,"Iran, Islamic Rep",2019,42000.0
1785,Italy,2019,0.89327627
1786,Japan,2019,109.00967
1787,"Korea, Rep",2019,1165.3575
1788,Mexico,2019,19.263634
1789,Malaysia,2019,4.1424699
1790,Netherlands,2019,0.89327627
1791,Philippines,2019,51.795784
1792,Russian Federation,2019,64.737656
1793,Saudi Arabia,2019,3.75
1794,Singapore,2019,1.3641584
1795,Thailand,2019,31.047606
1796,Turkey,2019,5.6738195
1797,United States,2019,1.0
1798,Vietnam,2019,23050.242
1799,South Africa,2019,14.448427
1800,United Arab Emirates,2020,3.6724999
1801,Argentina,2020,70.539169
1802,Australia,2020,1.4530851
1803,Brazil,2020,5.155179
1804,Canada,2020,1.3411527
1805,Switzerland,2020,0.93896502
1806,China,2020,6.9007673
1807,Germany,2020,0.8755064
1808,"Egypt, Arab Rep",2020,15.759173
1809,Spain,2020,0.8755064
1810,France,2020,0.8755064
1811,United Kingdom,2020,0.77999955
1812,Indonesia,2020,14582.203
1813,India,2020,74.099564
1814,"Iran, Islamic Rep",2020,42000.0
1815,Italy,2020,0.8755064
1816,Japan,2020,106.77458
1817,"Korea, Rep",2020,1180.2659
1818,Mexico,2020,21.485609
1819,Malaysia,2020,4.2034822
1820,Netherlands,2020,0.8755064
1821,Philippines,2020,49.624096
1822,Russian Federation,2020,72.104912
1823,Saudi Arabia,2020,3.75
1824,Singapore,2020,1.3797417
1825,Thailand,2020,31.293673
1826,Turkey,2020,7.0086055
1827,United States,2020,1.0
1828,Vietnam,2020,23208.369
1829,South Africa,2020,16.459105
